代码	名称	涨幅%	现价	买价	卖价	涨速%	换手%	收入同比%	利润同比%	净益率%	市盈(TTM)	市销率	净利润率%	研发费用(亿)	
300136	信维通信	8.00	103.12	103.12	--  	0.04	         12.65	14.31	35.35	   1.31㈠	125.51	50.08	          5.26	1.43	
688213	思特威-W	1.13	96.02	96.02	--  	-0.32	          3.69	20.68	23.66	   4.34㈠	36.50	18.29	         11.21	1.62	
000738	航发控制	-1.14	18.29	18.29	18.30	-0.21	          1.11	0.02	-13.77	   1.01㈠	77.43	17.83	          9.48	0.29	
688348	昱能科技	-2.52	35.14	--  	--  	0.14	          1.44	-22.42	-313.41	  -1.84㈠	--  	37.10	        -43.17	0.30	
688297	中无人机	2.39	44.61	44.61	--  	-0.15	          1.48	143.59	0.11	   0.29㈠	331.96	52.43	          2.94	0.31	
002049	紫光国微	2.11	83.64	83.63	83.64	0.00	          4.33	46.11	180.27	   2.37㈠	42.12	47.40	         22.23	2.95	
688302	海创药业-U	-0.87	35.27	--  	--  	0.03	          1.37	0.00	6.92	  -2.89㈠	--  	134.19	       -114.82	0.29	
600765	中航重机	-1.76	13.42	13.41	13.42	-0.14	          1.05	6.46	-20.14	   1.10㈠	37.27	8.49	         11.86	1.06	
300033	同花顺	-3.69	240.20	--  	240.20	0.04	          5.85	40.81	112.58	   3.66㈠	56.19	171.60	         24.29	2.98	
688559	海目星	-0.01	75.67	--  	75.67	-0.11	          4.79	144.36	113.35	   1.04㈠	--  	14.24	          1.42	0.69	
600150	中国船舶	-1.28	35.35	35.35	35.36	0.00	          1.13	54.90	251.64	   3.23㈠	23.84	6.14	         11.94	11.31	
001332	锡装股份	-0.92	43.20	43.20	43.23	-0.06	          4.95	83.43	96.84	   3.43㈠	24.78	18.90	         25.82	0.12	
301517	陕西华达	0.18	50.34	50.34	--  	0.00	          3.72	-7.69	13.29	  -1.26㈠	--  	95.91	        -19.07	0.11	
300810	中科海讯	4.17	26.95	26.95	--  	0.07	          5.78	35.75	44.47	  -1.82㈠	--  	50.04	        -21.87	0.06	
688410	山外山	-1.93	14.24	14.24	--  	-0.06	          1.65	21.33	47.21	   2.97㈠	28.41	19.82	         23.72	0.15	
603236	移远通信	0.78	49.27	49.26	49.27	0.06	          1.75	29.26	-33.30	   2.02㈠	25.70	2.94	          2.06	5.86	
600893	XD航发动	-2.95	39.12	39.12	39.13	-0.04	          1.13	14.80	-65.93	   0.01㈠	171.02	14.73	          0.27	0.99	
688563	航材股份	0.06	49.88	--  	--  	-0.07	          1.71	0.79	-11.52	   1.15㈠	43.09	34.11	         18.28	0.43	
688209	英集芯	1.04	26.24	26.24	--  	0.04	          2.83	23.03	129.80	   2.02㈠	55.37	30.21	         11.86	0.80	
688700	东威科技	2.22	91.90	--  	--  	-0.10	          4.72	44.47	160.59	   2.36㈠	180.96	89.77	         14.51	0.27	
300840	酷特智能	-1.29	19.96	--  	--  	0.05	          3.32	4.28	-19.38	   0.97㈠	141.93	29.53	          7.58	0.07	
300699	光威复材	3.35	28.40	28.40	--  	-0.17	          2.91	13.04	-21.58	   2.09㈠	40.08	36.95	         18.75	0.34	
300709	精研科技	2.84	66.23	66.23	--  	0.02	          8.18	21.92	-184.18	  -2.31㈠	627.60	21.55	         -8.35	0.70	
688318	财富趋势	-4.88	81.20	--  	--  	0.02	          2.52	-2.16	-25.71	   0.89㈠	100.88	542.01	         64.30	0.14	
159770	机器人ETF天弘	0.94	1.186	1.186	1.187	0.00	          2.92	0.00	0.00	--  	--  	0.00	--  	--  	
603381	永臻股份	-2.50	16.01	16.01	16.02	0.06	          3.33	-7.50	-9.29	   0.73㈠	--  	1.59	          1.02	0.15	
002317	众生药业	1.31	23.19	23.19	23.20	-0.08	          6.24	-1.58	20.83	   2.40㈠	66.41	31.57	         15.70	0.15	
688416	XR恒烁股	13.17	127.75	--  	127.75	1.79	          7.61	192.08	284.71	   3.66㈠	--  	62.80	         22.16	0.20	
002335	科华数据	0.03	38.42	38.42	38.43	0.00	          4.12	17.57	13.15	   1.20㈠	67.22	20.08	          5.69	1.09	
688049	XD炬芯科	0.79	45.70	--  	--  	0.02	          3.13	23.74	17.49	   2.33㈠	37.71	33.70	         20.50	0.60	
000733	振华科技	1.35	56.90	56.90	56.91	0.02	          6.11	-7.86	-72.81	   0.10㈠	31.66	37.68	          1.86	0.68	
002192	融捷股份	10.00	93.39	93.39	--  	0.00	         11.78	295.77	1296.26	   7.17㈠	41.06	64.46	         73.58	0.02	
002318	久立特材	-4.57	23.62	23.62	23.63	-0.03	          1.27	-29.79	1.43	   4.33㈠	15.96	11.40	         19.59	0.83	
002130	沃尔核材	-0.76	19.56	19.56	19.57	-0.09	          2.63	15.52	-7.63	   2.53㈠	24.53	13.47	         11.97	1.15	
300762	上海瀚讯	5.17	41.70	41.70	--  	-0.01	          8.16	-65.26	-434.16	  -1.95㈠	--  	600.53	       -115.47	0.47	
688333	XD铂力特	-0.82	97.80	97.80	--  	0.08	          4.02	43.57	212.21	   0.34㈠	114.95	82.32	          5.15	0.62	
688320	禾川科技	5.02	39.15	--  	--  	0.00	          6.35	18.70	79.10	  -0.46㈠	--  	21.70	         -3.38	0.32	
688088	虹软科技	-1.03	36.49	--  	--  	0.00	          1.35	8.54	8.90	   1.95㈠	56.28	64.45	         23.81	1.12	
300058	蓝色光标	-0.20	14.75	--  	14.75	-0.13	          6.17	31.91	32.04	   1.58㈠	207.87	2.82	          0.67	0.44	
688365	光云科技	-1.89	17.11	--  	--  	-0.40	          2.85	23.44	146.49	   0.63㈠	--  	51.37	          2.85	0.32	
603843	*ST正平	-3.13	8.37	8.37	8.38	0.00	          2.04	-25.15	-279.22	-101.38㈠	--  	53.23	        -31.26	0.01	
301031	中熔电气	-2.73	115.88	115.88	--  	0.00	          4.48	61.92	87.43	   6.96㈠	38.00	26.82	         17.90	0.49	
600331	宏达股份	-3.66	11.83	11.82	11.83	0.08	          3.03	-10.57	6.19	  -1.08㈠	--  	42.53	         -4.59	0.01	
603077	和邦生物	0.00	2.42	2.42	2.43	-0.40	          1.88	-19.58	1286.79	   0.96㈠	--  	15.40	         12.41	0.04	
300666	江丰电子	3.83	304.04	304.04	--  	0.02	          9.40	30.49	33.42	   4.05㈠	146.39	64.27	         14.14	0.77	
300618	寒锐钴业	1.93	38.60	38.60	--  	-0.02	          3.29	24.19	51.07	   1.17㈠	42.43	6.41	          3.24	0.34	
000960	锡业股份	9.78	46.60	46.59	46.60	-0.14	          9.48	59.86	73.71	   3.82㈠	29.92	4.93	          5.70	0.75	
002315	焦点科技	-1.65	23.91	23.91	23.92	0.00	          2.17	15.81	-12.53	   3.40㈠	20.48	19.30	         16.63	0.69	
688095	福昕软件	-2.03	61.90	--  	--  	0.00	          3.39	14.92	293.15	   0.43㈠	121.94	24.34	          1.28	0.55	
300418	昆仑万维	-0.12	41.80	41.80	--  	-0.01	          3.86	45.69	-15.34	  -7.24㈠	--  	20.90	        -42.02	3.84	
688233	神工股份	13.58	141.90	141.90	--  	0.00	          6.88	6.22	-10.96	   1.33㈠	215.10	214.96	         24.94	0.09	
000983	山西焦煤	-4.73	6.24	6.24	6.25	0.00	          1.80	-1.82	18.62	   2.18㈠	28.01	4.00	         10.97	0.18	
688293	奥浦迈	-0.35	40.09	--  	--  	0.07	          2.70	117.68	167.44	   1.43㈠	84.56	30.65	         20.70	0.16	
688353	华盛锂电	-0.27	119.88	119.88	--  	0.00	          7.91	96.83	325.19	   2.75㈠	125.02	58.47	         28.76	0.15	
301152	天力锂能	-0.68	26.22	--  	--  	0.00	          5.50	23.31	121.30	   0.70㈠	--  	6.04	          1.57	0.20	
300049	福瑞医科	-1.32	40.45	--  	--  	0.17	          2.97	9.00	11.03	   1.60㈠	68.82	29.65	         14.47	0.32	
601388	怡球资源	-1.59	3.09	3.09	3.10	0.00	          1.69	4.51	179.68	   1.28㈠	33.17	3.63	          3.20	--  	
688280	精进电动-W	-2.60	5.99	--  	--  	0.17	          2.70	-19.20	-288.39	 -14.17㈠	345.73	10.83	        -28.01	0.30	
002151	北斗星通	1.49	32.60	32.59	32.60	-0.02	          3.29	93.28	145.76	   0.28㈠	--  	28.77	          1.39	0.93	
688682	霍莱沃	0.84	39.65	--  	--  	-0.64	          2.64	9.43	56.63	   1.05㈠	--  	50.48	          7.48	0.10	
688596	正帆科技	5.19	47.61	47.61	--  	0.17	          7.24	43.35	-174.36	  -0.68㈠	174.52	14.44	         -2.60	0.60	
300602	飞荣达	6.82	49.20	--  	49.20	-0.15	          6.74	39.15	33.92	   1.86㈠	69.77	17.42	          4.80	0.92	
300496	中科创达	2.16	64.42	64.42	--  	-0.01	          4.53	19.04	10.60	   0.98㈠	63.30	17.01	          5.15	2.80	
301325	曼恩斯特	-4.58	37.68	--  	--  	-0.04	          2.24	-84.45	-831.44	  -1.55㈠	--  	79.61	        -78.82	0.38	
301293	三博脑科	5.02	55.04	--  	55.04	0.00	          7.86	13.14	-60.76	   0.64㈠	177.26	25.47	          2.30	--  	
603267	鸿远电子	5.61	76.00	76.00	76.01	0.00	          8.47	-11.98	60.00	   2.13㈠	58.14	42.78	         23.14	0.28	
002957	科瑞技术	2.53	56.32	56.31	56.32	-0.04	          7.01	15.42	56.87	   2.10㈠	77.35	38.25	         12.27	0.73	
300001	特锐德	-2.35	39.08	--  	39.08	-0.04	          3.30	5.41	11.05	   0.83㈠	33.79	18.62	          2.64	0.93	
603087	甘李药业	-0.52	56.95	56.95	56.97	-0.03	          1.73	-10.84	-38.29	   1.63㈠	33.39	38.74	         21.92	1.28	
000901	航天科技	1.36	17.87	17.86	17.87	0.00	          2.42	-34.38	512.13	   0.35㈠	158.25	13.15	          1.42	0.81	
603583	捷昌驱动	-2.01	22.88	22.88	22.90	-0.12	          1.34	-1.43	-55.15	   1.07㈠	26.88	9.31	          5.30	0.71	
688337	普源精电	2.41	73.94	73.94	--  	2.37	          4.68	38.00	512.01	   0.73㈠	132.74	61.91	         10.00	0.56	
688619	罗普特	-6.04	16.50	--  	--  	-0.05	          2.66	18.29	59.38	  -1.52㈠	--  	126.22	        -42.87	0.05	
688507	索辰科技	16.17	276.60	--  	--  	-0.03	         20.24	1.66	-117.14	  -1.23㈠	1608.19	625.11	       -110.95	0.37	
300604	长川科技	10.00	307.35	307.35	--  	0.00	          8.28	69.09	217.60	   6.92㈠	112.69	141.45	         26.05	2.69	
300803	指南针	-5.39	98.02	98.02	--  	-0.02	          5.40	22.26	-19.80	   3.88㈠	315.14	115.41	         21.31	0.52	
300724	捷佳伟创	1.12	69.25	--  	69.25	-0.23	          3.68	-63.52	-61.83	   1.99㈠	10.94	16.13	         18.09	1.06	
002866	传艺科技	-1.53	17.40	17.39	17.40	-0.10	          3.72	15.86	-60.82	   0.73㈠	82.39	9.36	          2.03	0.26	
300568	星源材质	-3.38	18.30	18.30	--  	-0.10	         10.52	21.53	-37.33	   0.30㈠	1346.19	25.32	          3.60	0.69	
300596	利安隆	3.96	49.83	49.83	--  	0.02	          4.02	7.50	22.34	   2.66㈠	21.14	7.19	          7.75	0.64	
300174	元力股份	9.53	31.85	31.85	--  	-0.15	         14.14	8.21	-11.10	   1.19㈠	47.50	24.71	          8.94	0.30	
688687	凯因科技	-1.90	16.01	--  	--  	0.31	          2.09	-10.67	-76.10	   0.36㈠	252.15	13.23	          2.33	0.26	
688373	盟科药业-U	-2.81	4.50	--  	--  	-0.21	          2.81	26.62	65.19	 -11.79㈠	--  	70.21	        -51.01	0.27	
688155	先惠技术	-0.09	81.83	--  	--  	-0.15	          2.47	98.41	163.46	   6.25㈠	23.22	10.01	         18.68	0.34	
688052	纳芯微	-3.67	289.00	--  	--  	0.10	          3.39	59.17	30.39	  -0.47㈠	--  	41.18	         -3.25	2.24	
689009	九号公司-WD	0.91	33.31	--  	--  	-0.17	          2.35	14.82	-55.42	   2.75㈠	16.03	4.15	          3.56	3.71	
603605	珀莱雅	-2.70	56.55	56.55	56.56	-0.10	          1.36	-2.29	-6.05	   5.72㈠	15.61	9.71	         16.64	0.43	
002600	领益智造	10.03	17.66	17.66	--  	0.00	          5.99	9.99	-30.70	   1.61㈠	55.48	10.21	          3.17	6.89	
688581	安杰思	-1.02	53.51	53.51	--  	0.13	          0.87	9.21	0.97	   2.21㈠	19.73	30.91	         40.29	0.16	
002675	东诚药业	-1.10	12.61	12.61	12.63	-0.07	          1.38	-8.82	35.19	   0.78㈠	51.45	16.60	          5.57	0.42	
002901	大博医疗	0.76	42.37	42.37	42.41	-0.08	          0.64	16.56	42.16	   3.94㈠	27.07	27.35	         25.24	0.79	
688179	阿拉丁	-3.34	26.01	--  	--  	-0.18	         11.07	31.15	20.31	   2.95㈠	91.07	55.15	         21.84	0.20	
688521	芯原股份	5.58	300.90	--  	300.90	0.00	          5.58	114.47	-54.69	 -10.83㈠	--  	189.35	        -40.78	4.39	
688661	和林微纳	2.91	150.68	--  	150.68	0.00	          3.41	-21.69	-148.32	  -1.06㈠	--  	139.99	         -7.83	0.21	
688371	菲沃泰	5.20	35.62	--  	--  	-0.55	          4.83	-28.40	-435.96	  -1.09㈠	4229.47	158.99	        -28.22	0.20	
300390	天华新能	12.78	98.83	98.83	--  	0.00	         12.35	89.62	1471.98	   7.85㈠	55.59	25.66	         34.73	0.18	
688518	联赢激光	-0.56	28.64	28.64	--  	0.00	          5.02	1.74	-2.08	   1.39㈠	59.12	11.04	          5.00	0.52	
688582	芯动联科	1.19	57.90	--  	57.90	-0.13	          3.08	-41.86	-94.25	   0.10㈠	87.87	455.16	          5.00	0.34	
688117	圣诺生物	0.00	25.23	25.23	--  	0.04	          2.12	32.52	40.84	   5.90㈠	31.38	22.76	         27.17	0.11	
601127	赛力斯	-1.90	61.80	61.79	61.80	-0.02	          1.40	34.46	0.89	   1.83㈠	18.40	4.18	          2.37	17.94	
002805	丰元股份	1.39	29.81	29.80	29.81	-0.26	         14.25	276.52	185.59	   8.23㈠	--  	6.04	          5.35	0.22	
688006	杭可科技	4.24	39.79	39.79	--  	-0.02	          4.12	24.31	10.62	   2.32㈠	60.53	28.42	         15.15	0.68	
688093	世华科技	-0.24	28.93	--  	--  	0.03	          1.04	-6.45	-2.07	   2.97㈠	20.48	33.91	         35.69	0.15	
688103	国力电子	-3.92	60.04	--  	--  	0.03	          2.85	33.28	-42.98	   0.58㈠	91.12	18.66	          2.19	0.25	
600055	万东医疗	-3.02	10.91	10.91	10.92	-0.08	          0.88	8.92	-145.46	  -0.36㈠	--  	18.87	         -3.84	0.52	
688080	映翰通	-2.59	40.25	--  	--  	0.25	          1.95	-10.10	-58.28	   0.79㈠	22.37	22.05	          7.08	0.14	
688591	泰凌微	0.51	33.75	33.75	--  	-0.14	          3.05	1.58	-76.79	   0.34㈠	81.23	34.89	          3.55	0.73	
300144	宋城演艺	-3.30	5.86	5.86	--  	-0.16	          1.14	-5.29	-15.06	   2.70㈠	20.39	28.79	         40.72	0.07	
300629	新劲刚	-0.10	20.34	--  	--  	0.10	          3.65	94.94	157.55	   0.60㈠	46.19	55.91	         17.32	0.10	
002281	光迅科技	-0.20	266.36	266.36	266.37	0.00	          5.41	24.79	59.76	   2.32㈠	213.19	79.48	          8.38	2.81	
688627	精智达	16.21	638.00	--  	638.00	0.34	         10.33	118.84	189.73	   0.84㈠	537.25	180.41	          8.11	0.63	
300595	欧普康视	-2.69	10.86	10.86	--  	0.00	          1.41	-3.92	-8.79	   2.89㈠	21.47	21.16	         35.73	0.09	
688029	南微医学	-0.91	70.85	--  	--  	0.00	          0.66	22.11	-8.99	   3.45㈠	24.16	15.59	         17.42	0.47	
688050	爱博医疗	-3.40	37.47	--  	--  	-0.02	          2.00	11.50	-3.55	   3.12㈠	28.33	18.20	         21.55	0.19	
002947	恒铭达	-2.70	84.46	84.46	84.47	-0.01	          7.90	10.04	39.91	   4.68㈠	38.67	30.31	         21.23	0.31	
002664	信质集团	-1.86	18.45	18.44	18.45	0.00	          1.41	10.65	387.85	   0.78㈠	49.25	5.42	          1.95	0.65	
003021	兆威机电	-1.94	91.16	91.16	91.17	0.00	          1.86	-2.74	-25.15	   0.80㈠	103.41	68.23	         11.46	0.43	
688167	炬光科技	4.62	375.00	375.00	--  	0.00	          6.33	21.15	58.68	  -0.59㈠	--  	237.61	         -6.43	0.45	
688012	中微公司	3.03	383.00	383.00	--  	-0.41	          3.33	34.13	197.20	   3.83㈠	129.06	124.49	         31.51	5.24	
300866	安克创新	-2.68	108.02	--  	--  	-0.24	          2.83	26.93	-4.87	   4.22㈠	23.61	7.61	          6.19	8.05	
000636	风华高科	3.09	72.38	72.38	72.39	0.22	         11.29	18.90	37.14	   0.71㈠	264.35	55.29	          5.88	0.69	
300255	常山药业	-4.04	25.68	25.68	--  	0.08	          3.30	-1.00	55.21	   0.49㈠	--  	92.16	          1.32	0.07	
159801	芯片ETF广发	5.67	1.491	1.491	1.492	0.07	          8.69	0.00	0.00	--  	--  	0.00	--  	--  	
300360	炬华科技	-2.91	12.00	--  	--  	-0.16	          0.94	-31.59	-45.51	   2.24㈠	13.04	20.83	         32.26	0.21	
688578	艾力斯	6.64	93.50	93.50	--  	0.02	          2.35	44.19	54.94	   8.21㈠	16.34	26.57	         40.16	1.14	
688008	澜起科技	3.29	266.49	266.49	--  	0.00	          5.55	19.51	61.30	   4.06㈠	123.29	222.98	         56.80	1.88	
688543	国科军工	0.31	39.32	--  	--  	-0.07	          1.65	24.42	-31.18	   0.81㈠	41.34	63.61	         12.25	0.26	
600763	通策医疗	-3.24	34.09	34.08	34.09	-0.05	          1.71	1.43	1.66	   4.23㈠	31.20	20.19	         29.20	0.12	
600521	华海药业	0.20	14.72	14.71	14.72	0.14	          1.51	-1.40	35.90	   4.10㈠	58.94	9.44	         17.06	2.19	
002222	福晶科技	2.17	95.02	95.01	95.02	0.02	          6.42	35.63	30.70	   3.57㈠	148.80	137.73	         23.28	0.25	
688385	复旦微电	4.36	60.81	60.81	--  	0.02	          4.11	16.23	8.91	   2.36㈠	196.34	48.53	         13.57	3.11	
688220	翱捷科技-U	-0.09	97.12	--  	--  	0.00	          3.31	24.18	77.08	  -0.52㈠	--  	35.95	         -2.48	3.44	
688777	中控技术	1.18	121.49	121.49	--  	0.07	          2.79	-6.29	-37.81	   0.74㈠	239.85	63.82	          4.96	2.15	
688531	日联科技	3.30	166.52	--  	--  	-0.27	          6.06	48.34	24.98	   1.29㈠	144.39	93.18	         14.51	0.37	
688710	益诺思	3.95	63.61	--  	--  	-0.44	          4.00	0.43	121.23	   0.52㈠	--  	42.69	          5.82	0.10	
300896	爱美客	-3.27	88.11	--  	--  	0.00	          1.96	-4.48	-32.79	   3.79㈠	24.06	42.07	         47.50	0.68	
688617	惠泰医疗	0.86	188.49	--  	--  	-0.18	          1.25	24.78	25.27	   7.73㈠	30.51	37.89	         32.06	0.95	
688278	特宝生物	0.70	54.75	54.75	--  	-0.17	          0.99	18.48	-9.68	   4.53㈠	21.90	28.01	         20.62	0.94	
603259	药明康德	8.55	115.40	115.39	115.40	-0.05	          4.44	28.81	26.68	   5.52㈠	15.76	27.69	         37.56	2.67	
002906	华阳集团	-0.65	26.14	26.12	26.14	0.50	          1.87	24.37	6.61	   2.32㈠	17.44	4.43	          5.40	2.32	
688475	萤石网络	0.49	26.85	--  	--  	0.07	          0.60	2.36	32.30	   3.06㈠	34.43	14.97	         12.93	2.17	
688361	中科飞测	13.21	312.34	--  	--  	-0.52	          2.55	34.63	-354.28	  -1.34㈠	17096.07	276.17	        -17.16	1.83	
688519	南亚新材	8.67	361.88	361.88	--  	0.00	          3.21	92.36	610.83	   5.21㈠	212.04	46.45	          8.19	0.80	
688092	爱科科技	-2.30	22.50	--  	--  	0.18	          1.06	2.81	-42.75	   0.89㈠	41.13	18.97	          6.02	0.09	
300842	帝科股份	-1.32	87.71	87.71	--  	0.08	          5.39	61.90	-58.12	   0.90㈠	--  	1.94	          2.21	1.35	
002273	水晶光电	5.79	36.01	36.01	36.02	0.00	          5.74	16.08	11.69	   2.42㈠	39.51	29.10	         13.65	1.26	
688356	键凯科技	0.69	72.97	72.97	--  	0.70	          2.11	14.53	88.67	   1.67㈠	60.85	55.92	         28.32	0.12	
688331	荣昌生物	4.45	117.55	--  	117.55	-0.02	          8.16	24.76	229.06	   8.35㈠	49.18	101.12	         49.98	2.10	
603019	中科曙光	2.15	88.93	88.93	88.94	0.00	          3.54	23.71	22.19	   1.01㈠	57.44	40.67	          6.00	5.92	
688548	广钢气体	0.05	38.59	--  	38.59	0.10	          7.66	10.59	62.63	   1.51㈠	158.52	83.96	         15.10	0.22	
688523	航天环宇	1.13	50.95	--  	--  	0.00	          1.27	6.20	-84.66	   0.09㈠	523.19	318.38	          2.07	0.19	
688566	吉贝尔	-0.70	25.48	--  	--  	0.00	          0.82	12.20	-15.22	   1.69㈠	20.31	22.63	         18.09	0.10	
688539	高华科技	1.08	31.69	--  	--  	0.00	          1.32	-21.13	-195.90	  -0.21㈠	111.06	114.53	         -7.07	0.18	
688166	博瑞医药	-3.78	36.39	--  	--  	0.17	          3.50	30.52	-28.29	   0.37㈠	324.13	48.81	          2.92	1.20	
688035	德邦科技	1.28	96.28	96.28	--  	0.00	          5.63	28.48	26.78	   1.46㈠	117.70	33.70	          8.63	0.16	
002422	科伦药业	0.78	37.60	37.60	37.61	-0.07	          2.04	-2.98	-22.34	   1.84㈠	37.77	14.04	         11.10	5.86	
300633	开立医疗	0.63	19.02	--  	--  	0.00	          2.79	11.79	-243.78	  -0.36㈠	45.21	16.81	         -2.41	1.15	
688076	ST诺泰	0.97	27.99	--  	--  	0.25	          1.07	-2.23	-15.17	   4.16㈠	28.33	16.00	         22.95	0.53	
688692	达梦数据	-2.78	251.80	--  	--  	0.21	          3.04	59.09	54.25	   3.90㈠	51.47	69.43	         36.01	0.75	
688601	力芯微	-0.37	58.57	--  	--  	0.21	          4.12	25.71	-113.97	  -0.11㈠	305.64	37.93	         -0.14	0.48	
688019	安集科技	7.40	264.30	264.30	--  	-0.25	          5.50	32.76	23.01	   4.53㈠	68.07	83.06	         28.69	1.19	
688628	优利德	3.65	103.49	103.49	--  	0.29	          3.89	26.98	31.68	   5.42㈠	66.16	29.29	         18.20	0.30	
688516	奥特维	-0.15	54.72	--  	54.72	-0.04	          3.32	-33.01	-35.42	   2.22㈠	43.44	16.71	          8.30	1.01	
603893	瑞芯微	2.91	185.39	185.39	185.40	0.00	          3.29	36.22	57.15	   6.97㈠	65.40	64.75	         27.31	1.59	
002668	TCL智家	-2.76	10.21	10.21	10.22	0.10	          1.95	6.22	1.58	   7.97㈠	10.09	2.27	         11.48	1.55	
301004	嘉益股份	-3.32	33.22	--  	--  	-0.05	          0.65	-41.00	-59.55	   3.31㈠	14.45	11.41	         14.47	0.15	
000999	华润三九	-2.01	23.35	23.35	23.36	-0.08	          0.48	18.62	-15.29	   4.63㈠	12.29	4.78	         14.88	3.42	
603920	世运电路	-0.17	52.44	52.43	52.44	0.00	          3.92	8.63	-79.63	   0.56㈠	70.00	28.57	          2.17	0.62	
002517	恺英网络	2.25	15.42	15.41	15.42	-0.18	          5.19	64.19	50.65	   7.54㈠	14.87	14.83	         37.04	1.07	
300487	蓝晓科技	3.59	60.60	60.60	--  	-0.11	          3.07	5.24	-5.81	   3.95㈠	33.62	50.83	         29.99	0.30	
603203	快克智能	10.01	70.14	70.14	--  	0.00	          6.97	33.09	16.15	   5.14㈠	141.12	69.49	         23.45	0.39	
300627	华测导航	-0.89	27.71	--  	--  	-0.17	          1.44	2.28	-12.15	   2.87㈠	33.17	27.21	         15.78	1.33	
603207	小方制药	-2.12	23.08	23.08	23.09	0.04	          2.85	12.88	-6.41	   4.87㈠	18.60	25.45	         38.44	0.02	
605333	沪光股份	-1.72	17.69	17.69	17.70	-0.10	          0.57	5.90	-67.50	   0.88㈠	19.96	5.02	          1.85	0.83	
688625	呈和科技	1.03	91.60	91.60	--  	-0.04	          2.46	13.90	26.20	   5.68㈠	80.82	96.50	         36.09	0.09	
688198	佰仁医疗	1.59	87.36	--  	--  	1.57	          0.64	43.35	27.29	   3.02㈠	58.51	83.83	         30.22	0.28	
688347	华虹宏力	8.19	316.01	316.01	--  	-0.02	          6.98	18.22	513.10	   0.31㈠	1028.64	118.72	         -2.75	4.32	
688249	晶合集成	3.29	57.20	57.20	--  	0.04	          2.94	13.41	-62.61	   0.23㈠	179.50	39.44	          0.98	3.03	
688381	帝奥微	-1.17	43.25	--  	--  	0.16	          5.50	-31.40	-298.88	  -0.98㈠	--  	102.14	        -23.52	0.47	
688510	航亚科技	-2.18	24.67	--  	--  	0.00	          2.83	-1.47	-34.68	   1.63㈠	71.80	37.40	         11.76	0.11	
688018	乐鑫科技	0.86	123.55	123.55	--  	0.03	          2.65	16.16	44.76	   3.02㈠	53.19	44.69	         21.00	1.54	
588190	科创100ETF银华	3.44	2.076	2.075	2.076	0.05	          6.95	0.00	0.00	--  	--  	0.00	--  	--  	
300991	创益通	-4.39	35.32	35.32	--  	-0.16	          3.43	-18.15	-202.56	  -1.02㈠	--  	37.38	         -4.31	0.09	
688048	长光华芯	7.13	420.00	420.00	--  	0.00	          7.73	37.81	159.73	   0.15㈠	2048.15	569.83	          3.68	0.26	
688498	源杰科技	1.08	1838.00	1838.00	--  	0.07	          3.33	320.94	1153.07	   7.11㈠	635.81	644.09	         50.51	0.21	
301050	雷电微力	1.08	34.73	34.73	--  	-0.11	          2.83	-72.74	-179.13	  -1.78㈠	207.60	133.80	        -84.80	0.14	
002970	锐明技术	-1.66	62.33	62.33	62.35	-0.02	          4.11	8.35	-56.85	   2.03㈠	35.82	20.56	          7.87	0.68	
688252	天德钰	2.87	23.29	23.29	--  	-0.12	          2.52	-3.28	-34.76	   1.87㈠	44.31	17.77	          8.59	0.52	
603200	上海洗霸	-1.72	44.59	44.58	44.59	-0.01	          1.95	8.67	-81.08	   0.17㈠	97.10	70.04	         -1.53	0.07	
603998	方盛制药	-0.63	9.46	9.45	9.46	0.11	          1.41	10.69	0.15	   5.10㈠	13.64	8.98	         18.99	0.36	
688533	上声电子	-2.79	21.94	--  	--  	0.00	          0.59	8.05	-10.99	   1.34㈠	20.73	5.27	          3.35	0.46	
002428	云南锗业	10.00	123.09	123.09	--  	0.00	         18.53	20.31	-10.71	   0.62㈠	3835.69	278.30	          3.18	0.18	
002164	宁波东力	-1.74	12.43	12.42	12.43	-0.07	          2.77	1.22	37.40	   1.37㈠	33.35	19.62	          6.45	0.16	
600038	中直股份	-2.13	25.75	25.75	25.77	-0.15	          1.09	-0.12	-81.26	   0.21㈠	44.23	8.90	          1.30	0.49	
002837	英维克	1.69	82.86	82.86	82.87	0.02	          9.31	26.03	-81.97	   0.25㈠	215.17	89.84	          1.20	1.03	
300525	博思软件	-4.07	8.26	8.26	--  	0.12	          3.11	0.95	1.72	  -2.50㈠	37.36	24.16	        -28.80	0.82	
688778	厦钨新能	0.00	57.53	--  	--  	-0.02	          1.63	117.82	79.17	   2.34㈠	34.08	4.41	          3.47	1.49	
600206	有研新材	7.05	51.76	51.76	51.77	0.02	         18.16	60.72	31.00	   2.03㈠	143.28	14.82	          3.07	0.55	
159992	创新药ETF银华	2.79	0.773	0.772	0.773	0.13	          7.45	0.00	0.00	--  	--  	0.00	--  	--  	
688299	长阳科技	-1.39	17.02	--  	--  	-0.11	          2.38	-10.27	-21.32	   0.57㈠	--  	20.43	          4.66	0.15	
603662	柯力传感	-2.54	68.67	68.67	68.68	0.06	          4.21	13.34	-45.65	   1.47㈠	64.66	53.91	         15.42	0.36	
