代码	名称	涨幅%	现价	买价	卖价	涨速%	换手%	收入同比%	利润同比%	净益率%	市盈(TTM)	市销率	净利润率%	研发费用(亿)	
601702	华峰铝业	-1.77	15.01	15.00	15.01	0.00	          0.93	2.49	-8.78	   3.64㈠	12.95	5.03	          8.16	0.55	
600338	西藏珠峰	2.65	17.85	17.84	17.85	0.00	          7.87	47.88	42.73	   3.98㈠	28.10	19.25	         21.13	0.01	
000582	北部湾港	-3.08	11.33	11.33	11.34	-0.08	          1.44	5.03	16.93	   1.12㈠	27.47	16.52	         15.43	0.09	
688612	威迈斯	-0.30	29.43	--  	--  	0.27	          2.45	0.75	30.01	   3.49㈠	21.02	9.05	          9.61	1.10	
688629	华丰科技	3.28	148.91	148.91	--  	0.01	         11.28	56.15	230.43	   5.45㈠	156.33	110.12	         16.36	0.47	
300456	赛微电子	2.69	42.42	42.42	--  	0.00	          4.93	-62.68	-1958.32	  -0.74㈠	21.28	315.20	        -62.94	0.95	
688312	燕麦科技	6.12	96.95	--  	--  	0.00	          5.38	-3.71	-1.93	   0.16㈠	98.27	155.30	          2.00	0.28	
300045	华力创通	0.75	17.39	--  	17.39	-0.05	          3.55	6.94	31.17	  -0.79㈠	--  	78.48	         -7.94	0.17	
688568	中科星图	1.15	42.38	--  	--  	0.00	          1.53	-59.81	-816.31	  -4.09㈠	--  	168.97	        -80.48	1.12	
002430	杭氧股份	-3.49	27.41	27.41	27.42	0.04	          3.55	12.11	17.26	   2.61㈠	28.13	6.71	          7.06	0.88	
000933	神火股份	1.35	23.30	23.29	23.30	0.13	          2.33	28.83	223.28	   8.51㈠	9.25	4.22	         23.17	1.68	
002842	翔鹭钨业	-3.39	46.74	46.74	46.75	0.02	         20.07	138.65	2917.13	  17.16㈠	41.02	13.32	         21.82	0.40	
688809	强一股份	1.13	623.00	--  	--  	0.00	         11.77	0.00	0.00	   2.68㈠	161.92	283.38	         39.33	0.35	
001316	润贝航科	-1.35	35.71	35.71	35.72	-0.02	          1.59	25.21	78.03	   4.44㈠	27.72	19.28	         20.25	0.03	
000534	万泽股份	-2.20	29.32	29.32	29.34	-0.19	          3.52	7.39	6.57	   4.51㈠	75.70	41.53	         20.73	0.37	
601888	中国中免	-2.46	54.62	54.62	54.63	0.00	          1.62	0.96	21.18	   4.05㈠	29.11	6.71	         14.02	0.03	
